1255 East 233rd Street	Bronx	NY
2150 University Avenue	Bronx	NY
877 Southern Boulevard	Bronx	NY
118 Eames Place	Bronx	NY
280 West 231st Street	Bronx	NY
3060 Middletown Road	Bronx	NY
5540 Mosholu Avenue	Bronx	NY
660 Soundview Avenue	Bronx	NY
650 W. 235th St.	Bronx	NY
3025 Cross Bronx Expressway Extension	Bronx	NY
3874 Sedgwick Avenue	Bronx	NY
2147 Barnes Avenue	Bronx	NY
4100 Lowerre Place	Bronx	NY
2085 Honeywell Avenue	Bronx	NY
2521 Glebe Avenue	Bronx	NY
4355 Katonah Avenue	Bronx	NY
1 Bruckner Blvd	Bronx	NY
450 Grand Concourse	Bronx	NY
203 Arlington Ave.	Brooklyn	NY
7223 Ridge Blvd.	Brooklyn	NY
496 Franklin Avenue	Brooklyn	NY
1265 43rd St.	Brooklyn	NY
16 Brighton First Rd.	Brooklyn	NY
280 Cadman Plaza West	Brooklyn	NY
725 St. Marks Ave.	Brooklyn	NY
61 Glenmore Ave.	Brooklyn	NY
340 Bushwick Ave.	Brooklyn	NY
1580 Rockaway Pkwy.	Brooklyn	NY
396 Clinton St.	Brooklyn	NY
Grand Army Plaza	Brooklyn	NY
2035 Nostrand Ave.	Brooklyn	NY
380 Washington Ave.	Brooklyn	NY
1901 Mermaid Ave.	Brooklyn	NY
1305 Cortelyou Rd.	Brooklyn	NY
560 New York Ave.	Brooklyn	NY
1197 Sutter Ave.	Brooklyn	NY
790 Bushwick Ave.	Brooklyn	NY
8202 13th Ave.	Brooklyn	NY
9612 Church Ave.	Brooklyn	NY
1044 Eastern Pkwy.	Brooklyn	NY
22 Linden Blvd.	Brooklyn	NY
2065 Flatbush Ave.	Brooklyn	NY
9424 Fourth Ave.	Brooklyn	NY
2808 Gerritsen Ave.	Brooklyn	NY
303 Ave. X	Brooklyn	NY
107 Norman Ave.	Brooklyn	NY
1664 W. 13th St.	Brooklyn	NY
131 7th Ave S	New York	NY
2525 Coney Island Ave.	Brooklyn	NY
9727 Seaview Ave.	Brooklyn	NY
410 Ditmas Ave.	Brooklyn	NY
3650 Nostrand Ave.	Brooklyn	NY
2115 Ocean Ave.	Brooklyn	NY
81 Devoe St.	Brooklyn	NY
361 Lewis Ave.	Brooklyn	NY
1702 60th St	Brooklyn	NY
617 DeKalb Ave.	Brooklyn	NY
6802 Fort Hamilton Pkwy	Brooklyn	NY
975 East 16th St	Brooklyn	NY
2385 Ralph Ave	Brooklyn	NY
665 New Lots Ave.	Brooklyn	NY
1743 86th St.	Brooklyn	NY
25 Fourth Ave.	Brooklyn	NY
850 E. 59th St.	Brooklyn	NY
431 6th Ave.	Brooklyn	NY
7 Wolcott St.	Brooklyn	NY
1000 Utica Ave.	Brooklyn	NY
5902- 23rd Ave.	Brooklyn	NY
"Thomas S. Boyland St. at ""Macon St."""	Brooklyn	NY
2636 E.14th St.	Brooklyn	NY
12143 Flatlands Ave.	Brooklyn	NY
581 Mother Gaston Boulevard	Brooklyn	NY
5108 4th Avenue	Brooklyn	NY
2602 Bath Ave	Brooklyn	NY
93 Saint Edwards St.	Brooklyn	NY
360 Irving Ave.	Brooklyn	NY
240 Division Ave.	Brooklyn	NY
160 E. 5th St.	Brooklyn	NY
200 Eastern Parkway	Brooklyn	NY
525 DeKalb Avenue	Brooklyn	NY
639A 5th Ave	Brooklyn	NY
1103 Kings Highway	Brooklyn	NY
